!!SBtab SbtabVersion='1.0' TableType='Compound' TableName='C elegans metabolites'
!ID	!Name	!Location	!Charge	!Formula	!Identifiers:chebi	!Identifiers:pubmed	!Identifiers:doi	!Identifiers:eco	!Comment	!Curator	!Notes:InChI	!Notes:InChIKey	!Notes:SMILES	!Notes:Name_neutral	!Notes:Formula_Neutral	!Notes:InChI_neutral	!Notes:InChIKey_neutral	!Notes:SMILES_neutral	!Notes:ChEBI_neutral	!Notes:KEGG_neutral	!Notes:MetaCyc_neutral	!Notes:HMDB_neutral	!Notes:LipidMaps_neutral	!Notes:SwissLipids_neutral	!Notes:Wikidata_neutral	!Notes:Pubchem_neutral	!Notes:Metabolights_neutral	!Notes:Chemspider_neutral
M_3oc7isocoa_m	3-Oxo-5-methylhexanoyl-CoA(4-)	m	-4	C28H42N7O18P3S							InChI=1S/C28H46N7O18P3S/c1-15(2)9-16(36)10-19(38)57-8-7-30-18(37)5-6-31-26(41)23(40)28(3,4)12-50-56(47,48)53-55(45,46)49-11-17-22(52-54(42,43)44)21(39)27(51-17)35-14-34-20-24(29)32-13-33-25(20)35/h13-15,17,21-23,27,39-40H,5-12H2,1-4H3,(H,30,37)(H,31,41)(H,45,46)(H,47,48)(H2,29,32,33)(H2,42,43,44)/p-4/t17-,21-,22-,23+,27-/m0/s1	GHRDZXOPWCUEBE-YPVUVRSUSA-J		3-Oxo-5-methylhexanoyl-CoA	C28H46N7O18P3S	InChI=1/C28H46N7O18P3S/c1-15(2)9-16(36)10-19(38)57-8-7-30-18(37)5-6-31-26(41)23(40)28(3,4)12-50-56(47,48)53-55(45,46)49-11-17-22(52-54(42,43)44)21(39)27(51-17)35-14-34-20-24(29)32-13-33-25(20)35/h13-15,17,21-23,27,39-40H,5-12H2,1-4H3,(H,30,37)(H,31,41)(H,45,46)(H,47,48)(H2,29,32,33)(H2,42,43,44)/t17-,21-,22-,23+,27-/s2	GHRDZXOPWCUEBE-BWMCFMKANA-N											
M_3oc9isocoa_m	3-Oxo-7-methyloctanoyl-CoA(4-)	m	-4	C30H46N7O18P3S							InChI=1S/C30H50N7O18P3S/c1-17(2)6-5-7-18(38)12-21(40)59-11-10-32-20(39)8-9-33-28(43)25(42)30(3,4)14-52-58(49,50)55-57(47,48)51-13-19-24(54-56(44,45)46)23(41)29(53-19)37-16-36-22-26(31)34-15-35-27(22)37/h15-17,19,23-25,29,41-42H,5-14H2,1-4H3,(H,32,39)(H,33,43)(H,47,48)(H,49,50)(H2,31,34,35)(H2,44,45,46)/p-4/t19-,23-,24-,25+,29-/m1/s1	VAMSVBPIVXQTFY-FUEUKBNZSA-J		3-Oxo-7-methyloctanoyl-CoA	C30H50N7O18P3S	InChI=1S/C30H50N7O18P3S/c1-17(2)6-5-7-18(38)12-21(40)59-11-10-32-20(39)8-9-33-28(43)25(42)30(3,4)14-52-58(49,50)55-57(47,48)51-13-19-24(54-56(44,45)46)23(41)29(53-19)37-16-36-22-26(31)34-15-35-27(22)37/h15-17,19,23-25,29,41-42H,5-14H2,1-4H3,(H,32,39)(H,33,43)(H,47,48)(H,49,50)(H2,31,34,35)(H2,44,45,46)/t19-,23-,24-,25+,29-/m1/s1	VAMSVBPIVXQTFY-FUEUKBNZSA-N		CHEBI:12258;CHEBI:15506;CHEBI:2272	C03685			LMFA07050277		Q27089488	11966134		10140128
M_3oc11isocoa_m	3-Oxo-9-methyldecanoyl-CoA(4-)	m	-4	C32H50N7O18P3S							InChI=1S/C32H54N7O18P3S/c1-19(2)8-6-5-7-9-20(40)14-23(42)61-13-12-34-22(41)10-11-35-30(45)27(44)32(3,4)16-54-60(51,52)57-59(49,50)53-15-21-26(56-58(46,47)48)25(43)31(55-21)39-18-38-24-28(33)36-17-37-29(24)39/h17-19,21,25-27,31,43-44H,5-16H2,1-4H3,(H,34,41)(H,35,45)(H,49,50)(H,51,52)(H2,33,36,37)(H2,46,47,48)/p-4/t21-,25-,26-,27+,31-/m0/s1	GJYKCULWTPKFRB-IRIRNWBTSA-J		3-Oxo-9-methyldecanoyl-CoA	C32H54N7O18P3S	InChI=1/C32H54N7O18P3S/c1-19(2)8-6-5-7-9-20(40)14-23(42)61-13-12-34-22(41)10-11-35-30(45)27(44)32(3,4)16-54-60(51,52)57-59(49,50)53-15-21-26(56-58(46,47)48)25(43)31(55-21)39-18-38-24-28(33)36-17-37-29(24)39/h17-19,21,25-27,31,43-44H,5-16H2,1-4H3,(H,34,41)(H,35,45)(H,49,50)(H,51,52)(H2,33,36,37)(H2,46,47,48)/t21-,25-,26-,27+,31-/s2	GJYKCULWTPKFRB-XATHYDNGNA-N											
M_c7isocoa_m	5-methylhexanoyl-CoA(4-)	m	-4	C28H44N7O17P3S							InChI=1S/C28H48N7O17P3S/c1-16(2)6-5-7-19(37)56-11-10-30-18(36)8-9-31-26(40)23(39)28(3,4)13-49-55(46,47)52-54(44,45)48-12-17-22(51-53(41,42)43)21(38)27(50-17)35-15-34-20-24(29)32-14-33-25(20)35/h14-17,21-23,27,38-39H,5-13H2,1-4H3,(H,30,36)(H,31,40)(H,44,45)(H,46,47)(H2,29,32,33)(H2,41,42,43)/p-4/t17-,21-,22-,23+,27-/m0/s1	KQVPATRBGPRFQO-YPVUVRSUSA-J		5-methylhexanoyl-CoA	C28H48N7O17P3S	InChI=1/C28H48N7O17P3S/c1-16(2)6-5-7-19(37)56-11-10-30-18(36)8-9-31-26(40)23(39)28(3,4)13-49-55(46,47)52-54(44,45)48-12-17-22(51-53(41,42)43)21(38)27(50-17)35-15-34-20-24(29)32-14-33-25(20)35/h14-17,21-23,27,38-39H,5-13H2,1-4H3,(H,30,36)(H,31,40)(H,44,45)(H,46,47)(H2,29,32,33)(H2,41,42,43)/t17-,21-,22-,23+,27-/s2	KQVPATRBGPRFQO-BWMCFMKANA-N											
M_c9isocoa_m	7-methyloctanoyl-CoA(4-)	m	-4	C30H48N7O17P3S							InChI=1S/C30H52N7O17P3S/c1-18(2)8-6-5-7-9-21(39)58-13-12-32-20(38)10-11-33-28(42)25(41)30(3,4)15-51-57(48,49)54-56(46,47)50-14-19-24(53-55(43,44)45)23(40)29(52-19)37-17-36-22-26(31)34-16-35-27(22)37/h16-19,23-25,29,40-41H,5-15H2,1-4H3,(H,32,38)(H,33,42)(H,46,47)(H,48,49)(H2,31,34,35)(H2,43,44,45)/p-4/t19-,23-,24-,25+,29-/m1/s1	VLQMJDKLPNKZNA-FUEUKBNZSA-J		7-methyloctanoyl-CoA	C30H52N7O17P3S	InChI=1S/C30H52N7O17P3S/c1-18(2)8-6-5-7-9-21(39)58-13-12-32-20(38)10-11-33-28(42)25(41)30(3,4)15-51-57(48,49)54-56(46,47)50-14-19-24(53-55(43,44)45)23(40)29(52-19)37-17-36-22-26(31)34-16-35-27(22)37/h16-19,23-25,29,40-41H,5-15H2,1-4H3,(H,32,38)(H,33,42)(H,46,47)(H,48,49)(H2,31,34,35)(H2,43,44,45)/t19-,23-,24-,25+,29-/m1/s1	VLQMJDKLPNKZNA-FUEUKBNZSA-N											
M_c11isocoa_m	9-methyldecanoyl-CoA(4-)	m	-4	C32H52N7O17P3S							InChI=1S/C32H56N7O17P3S/c1-20(2)10-8-6-5-7-9-11-23(41)60-15-14-34-22(40)12-13-35-30(44)27(43)32(3,4)17-53-59(50,51)56-58(48,49)52-16-21-26(55-57(45,46)47)25(42)31(54-21)39-19-38-24-28(33)36-18-37-29(24)39/h18-21,25-27,31,42-43H,5-17H2,1-4H3,(H,34,40)(H,35,44)(H,48,49)(H,50,51)(H2,33,36,37)(H2,45,46,47)/p-4/t21-,25-,26-,27+,31-/m0/s1	RCXPSWVRHIYDCZ-IRIRNWBTSA-J		9-methyldecanoyl-CoA	C32H56N7O17P3S	InChI=1/C32H56N7O17P3S/c1-20(2)10-8-6-5-7-9-11-23(41)60-15-14-34-22(40)12-13-35-30(44)27(43)32(3,4)17-53-59(50,51)56-58(48,49)52-16-21-26(55-57(45,46)47)25(42)31(54-21)39-19-38-24-28(33)36-18-37-29(24)39/h18-21,25-27,31,42-43H,5-17H2,1-4H3,(H,34,40)(H,35,44)(H,48,49)(H,50,51)(H2,33,36,37)(H2,45,46,47)/t21-,25-,26-,27+,31-/s2	RCXPSWVRHIYDCZ-XATHYDNGNA-N											
M_adnr_c	adenosine 5'-monophosphate(1?) residue	c	-1	C10H11N5O6P	CHEBI:74411				I do not think we need it yet, but might be handy to model cytoplasmic RNA metabolism	lenov																		
M_adrenodoxin_ox_c	adrenodoxin oxidized	c	2		CHEBI:16341					abraham																		
M_adrenodoxin_red_c	adrenodoxin reduced	c	1		CHEBI:16906					abraham																		
M_adgal_m	alpha-D-galactose	m	0	C6H12O6	CHEBI:28061				added KEGG and CHEBI IDs	nel	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6+/m1/s1	WQZGKKKJIJFFOK-PHYPRBDBSA-N		alpha-D-galactose	C6H12O6	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6+/m1/s1	WQZGKKKJIJFFOK-PHYPRBDBSA-N		CHEBI:28260;CHEBI:28061;CHEBI:42741	C00984;C01582		HMDB0000143;HMDB00143			Q181381	439357		388480
M_adgal_n	alpha-D-galactose	n	0	C6H12O6	CHEBI:28061				added KEGG and CHEBI IDs	nel	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6+/m1/s1	WQZGKKKJIJFFOK-PHYPRBDBSA-N		alpha-D-galactose	C6H12O6	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6+/m1/s1	WQZGKKKJIJFFOK-PHYPRBDBSA-N		CHEBI:28260;CHEBI:28061;CHEBI:42741	C00984;C01582		HMDB0000143;HMDB00143			Q181381	439357		388480
M_gal1p_m	alpha-D-Galactose 1-phosphate(2-)	m	-2	C6H11O9P	CHEBI:58336				added ChEBI, added charge to the name, fixed the formula	lenov	InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/p-2/t2-,3+,4+,5-,6-/m1/s1	HXXFSFRBOHSIMQ-FPRJBGLDSA-L		alpha-D-galactose 1-phosphate	C6H13O9P	InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3+,4+,5-,6-/m1/s1	HXXFSFRBOHSIMQ-FPRJBGLDSA-N		CHEBI:16077;CHEBI:17973	C00446;C00103		HMDB0000645;HMDB00645			Q3082858	123912;439165		388311;110443
M_g1p_m	alpha-D-Glucose 1-phosphate(2-)	m	-2	C6H11O9P	CHEBI:58601				changed name to reflect charge, changed formula to charged version		InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/p-2/t2-,3-,4+,5-,6-/m1/s1	HXXFSFRBOHSIMQ-VFUOTHLCSA-L		alpha-D-glucose 1-phosphate	C6H13O9P	InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5-,6-/m1/s1	HXXFSFRBOHSIMQ-VFUOTHLCSA-N		CHEBI:29042	C00103					Q418865	65533		58977
M_lnlncacrn_c	alpha-Linolenoyl-carnitine	c	0	C25H43NO4							InChI=1S/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h6-7,9-10,12-13,23H,5,8,11,14-22H2,1-4H3/b7-6-,10-9-,13-12-	WJCRATGUUISKDG-QNEBEIHSSA-N		alpha-Linolenoyl-carnitine	C25H43NO4	InChI=1S/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h6-7,9-10,12-13,23H,5,8,11,14-22H2,1-4H3/b7-6-,10-9-,13-12-	WJCRATGUUISKDG-QNEBEIHSSA-N											
M_lnlncacrn_m	alpha-Linolenoyl-carnitine	c	0	C25H43NO4							InChI=1S/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h6-7,9-10,12-13,23H,5,8,11,14-22H2,1-4H3/b7-6-,10-9-,13-12-	WJCRATGUUISKDG-QNEBEIHSSA-N		alpha-Linolenoyl-carnitine	C25H43NO4	InChI=1S/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h6-7,9-10,12-13,23H,5,8,11,14-22H2,1-4H3/b7-6-,10-9-,13-12-	WJCRATGUUISKDG-QNEBEIHSSA-N											
M_lnlncacoa_m	alpha-Linolenoyl-CoA(4-)	c	-4	C39H60N7O17P3S	CHEBI:74034						InChI=1S/C39H64N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h5-6,8-9,11-12,26-28,32-34,38,49-50H,4,7,10,13-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/p-4/b6-5-,9-8-,12-11-/t28-,32-,33-,34+,38-/m1/s1	OMKFKBGZHNJNEX-PQBHNYBOSA-J		alpha-linolenoyl-CoA	C39H64N7O17P3S	InChI=1S/C39H64N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(48)67-23-22-41-29(47)20-21-42-37(51)34(50)39(2,3)25-60-66(57,58)63-65(55,56)59-24-28-33(62-64(52,53)54)32(49)38(61-28)46-27-45-31-35(40)43-26-44-36(31)46/h5-6,8-9,11-12,26-28,32-34,38,49-50H,4,7,10,13-25H2,1-3H3,(H,41,47)(H,42,51)(H,55,56)(H,57,58)(H2,40,43,44)(H2,52,53,54)/b6-5-,9-8-,12-11-/t28-,32-,33-,34+,38-/m1/s1	OMKFKBGZHNJNEX-PQBHNYBOSA-N		CHEBI:51985	C16162		HMDB06290	LMFA07050286		Q27123069	25164091		21865968
M_arachcoa_m	arachidoyl-CoA(4-)	m	-4	C41H70N7O17P3S	CHEBI:57380				corrected charge, corrected formula to charged version	wimi	InChI=1S/C41H74N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-32(50)69-25-24-43-31(49)22-23-44-39(53)36(52)41(2,3)27-62-68(59,60)65-67(57,58)61-26-30-35(64-66(54,55)56)34(51)40(63-30)48-29-47-33-37(42)45-28-46-38(33)48/h28-30,34-36,40,51-52H,4-27H2,1-3H3,(H,43,49)(H,44,53)(H,57,58)(H,59,60)(H2,42,45,46)(H2,54,55,56)/p-4/t30-,34-,35-,36+,40-/m1/s1	JYLSVNBJLYCSSW-IBYUJNRCSA-J		icosanoyl-CoA	C41H74N7O17P3S	InChI=1S/C41H74N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-32(50)69-25-24-43-31(49)22-23-44-39(53)36(52)41(2,3)27-62-68(59,60)65-67(57,58)61-26-30-35(64-66(54,55)56)34(51)40(63-30)48-29-47-33-37(42)45-28-46-38(33)48/h28-30,34-36,40,51-52H,4-27H2,1-3H3,(H,43,49)(H,44,53)(H,57,58)(H,59,60)(H2,42,45,46)(H2,54,55,56)/t30-,34-,35-,36+,40-/m1/s1	JYLSVNBJLYCSSW-IBYUJNRCSA-N		CHEBI:15527			HMDB04258	LMFA07050006;LMFA07050329		Q27098079	3081439		2339044
M_arachcoa_m	arachidoyl-CoA(4-)	m	-4	C41H70N7O17P3S	CHEBI:57380						InChI=1S/C41H74N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-32(50)69-25-24-43-31(49)22-23-44-39(53)36(52)41(2,3)27-62-68(59,60)65-67(57,58)61-26-30-35(64-66(54,55)56)34(51)40(63-30)48-29-47-33-37(42)45-28-46-38(33)48/h28-30,34-36,40,51-52H,4-27H2,1-3H3,(H,43,49)(H,44,53)(H,57,58)(H,59,60)(H2,42,45,46)(H2,54,55,56)/p-4/t30-,34-,35-,36+,40-/m1/s1	JYLSVNBJLYCSSW-IBYUJNRCSA-J		icosanoyl-CoA	C41H74N7O17P3S	InChI=1S/C41H74N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-32(50)69-25-24-43-31(49)22-23-44-39(53)36(52)41(2,3)27-62-68(59,60)65-67(57,58)61-26-30-35(64-66(54,55)56)34(51)40(63-30)48-29-47-33-37(42)45-28-46-38(33)48/h28-30,34-36,40,51-52H,4-27H2,1-3H3,(H,43,49)(H,44,53)(H,57,58)(H,59,60)(H2,42,45,46)(H2,54,55,56)/t30-,34-,35-,36+,40-/m1/s1	JYLSVNBJLYCSSW-IBYUJNRCSA-N		CHEBI:15527			HMDB04258	LMFA07050006;LMFA07050329		Q27098079	3081439		2339044
M_ascr_11coa_c	ascr#11-CoA(4-)	c	-4	C31H48N7O21P3S	CHEBI:139620				corrected name, formula, ChEBI Ids	wimi	InChI=1S/C31H52N7O21P3S/c1-15(55-30-18(40)10-17(39)16(2)56-30)9-21(42)63-8-7-33-20(41)5-6-34-28(45)25(44)31(3,4)12-54-62(51,52)59-61(49,50)53-11-19-24(58-60(46,47)48)23(43)29(57-19)38-14-37-22-26(32)35-13-36-27(22)38/h13-19,23-25,29-30,39-40,43-44H,5-12H2,1-4H3,(H,33,41)(H,34,45)(H,49,50)(H,51,52)(H2,32,35,36)(H2,46,47,48)/p-4/t15-,16+,17-,18-,19-,23-,24-,25+,29-,30-/m1/s1	LCKLCDFFQNBIME-KORRKESGSA-J		ascr#11-CoA	C31H52N7O21P3S	InChI=1S/C31H52N7O21P3S/c1-15(55-30-18(40)10-17(39)16(2)56-30)9-21(42)63-8-7-33-20(41)5-6-34-28(45)25(44)31(3,4)12-54-62(51,52)59-61(49,50)53-11-19-24(58-60(46,47)48)23(43)29(57-19)38-14-37-22-26(32)35-13-36-27(22)38/h13-19,23-25,29-30,39-40,43-44H,5-12H2,1-4H3,(H,33,41)(H,34,45)(H,49,50)(H,51,52)(H2,32,35,36)(H2,46,47,48)/t15-,16+,17-,18-,19-,23-,24-,25+,29-,30-/m1/s1	LCKLCDFFQNBIME-KORRKESGSA-N											
M_g1p_B_c	beta-D-glucose 1-phosphate(2-)	c	-2	C6H11O9P	CHEBI:57684				Not used in any reaction anymore. It might not exist outside bacteria																			
M_bhas_12coa_c	bhas#12-CoA(4-)	c	-4	C33H52N7O22P3S	CHEBI:139725				corrected name, formula, ChEBI Ids	wimi	InChI=1S/C33H56N7O22P3S/c1-16(58-32-20(43)11-19(42)17(2)59-32)9-18(41)10-23(45)66-8-7-35-22(44)5-6-36-30(48)27(47)33(3,4)13-57-65(54,55)62-64(52,53)56-12-21-26(61-63(49,50)51)25(46)31(60-21)40-15-39-24-28(34)37-14-38-29(24)40/h14-21,25-27,31-32,41-43,46-47H,5-13H2,1-4H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/p-4/t16-,17+,18-,19-,20-,21-,25-,26-,27+,31-,32-/m1/s1	XBAWSFFIUSWJMC-FHHZALDKSA-J		bhas#12-CoA	C33H56N7O22P3S	InChI=1S/C33H56N7O22P3S/c1-16(58-32-20(43)11-19(42)17(2)59-32)9-18(41)10-23(45)66-8-7-35-22(44)5-6-36-30(48)27(47)33(3,4)13-57-65(54,55)62-64(52,53)56-12-21-26(61-63(49,50)51)25(46)31(60-21)40-15-39-24-28(34)37-14-38-29(24)40/h14-21,25-27,31-32,41-43,46-47H,5-13H2,1-4H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/t16-,17+,18-,19-,20-,21-,25-,26-,27+,31-,32-/m1/s	XBAWSFFIUSWJMC-FHHZALDKSA-N											
M_bhos_12coa_c	bhos#12-CoA(4-)	c	-4	C33H52N7O22P3S	CHEBI:139780				corrected name, formula, ChEBI Ids	wimi	InChI=1S/C33H56N7O22P3S/c1-17-19(42)12-20(43)32(59-17)56-9-4-5-18(41)11-23(45)66-10-8-35-22(44)6-7-36-30(48)27(47)33(2,3)14-58-65(54,55)62-64(52,53)57-13-21-26(61-63(49,50)51)25(46)31(60-21)40-16-39-24-28(34)37-15-38-29(24)40/h15-21,25-27,31-32,41-43,46-47H,4-14H2,1-3H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/p-4/t17-,18+,19+,20+,21+,25+,26+,27-,31+,32+/m0/s1	UGENGPKSXSGTSW-XTKLXGSESA-J		bhos#12-CoA	C33H56N7O22P3S	InChI=1S/C33H56N7O22P3S/c1-17-19(42)12-20(43)32(59-17)56-9-4-5-18(41)11-23(45)66-10-8-35-22(44)6-7-36-30(48)27(47)33(2,3)14-58-65(54,55)62-64(52,53)57-13-21-26(61-63(49,50)51)25(46)31(60-21)40-16-39-24-28(34)37-15-38-29(24)40/h15-21,25-27,31-32,41-43,46-47H,4-14H2,1-3H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/t17-,18+,19+,20+,21+,25+,26+,27-,31+,32+/m0/s1	UGENGPKSXSGTSW-XTKLXGSESA-											
M_bkas_12coa_c	bkas#12-CoA(4-)	c	-4	C33H50N7O22P3S	CHEBI:139836				corrected name, formula, ChEBI Ids	wimi	InChI=1S/C33H54N7O22P3S/c1-16(58-32-20(43)11-19(42)17(2)59-32)9-18(41)10-23(45)66-8-7-35-22(44)5-6-36-30(48)27(47)33(3,4)13-57-65(54,55)62-64(52,53)56-12-21-26(61-63(49,50)51)25(46)31(60-21)40-15-39-24-28(34)37-14-38-29(24)40/h14-17,19-21,25-27,31-32,42-43,46-47H,5-13H2,1-4H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/p-4/t16-,17+,19-,20-,21-,25-,26-,27+,31-,32-/m1/s1	SOIDBLBUCQIJLL-AUNNCQRVSA-J		bkas#12-CoA	C33H54N7O22P3S	InChI=1S/C33H54N7O22P3S/c1-16(58-32-20(43)11-19(42)17(2)59-32)9-18(41)10-23(45)66-8-7-35-22(44)5-6-36-30(48)27(47)33(3,4)13-57-65(54,55)62-64(52,53)56-12-21-26(61-63(49,50)51)25(46)31(60-21)40-15-39-24-28(34)37-14-38-29(24)40/h14-17,19-21,25-27,31-32,42-43,46-47H,5-13H2,1-4H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/t16-,17+,19-,20-,21-,25-,26-,27+,31-,32-/m1/s	SOIDBLBUCQIJLL-AUNNCQRVSA-											
M_bkos_12coa_c	bkos#12-CoA(4-)	c	-4	C33H50N7O22P3S	CHEBI:139905				corrected name, formula, ChEBI Ids	wimi	InChI=1S/C33H54N7O22P3S/c1-17-19(42)12-20(43)32(59-17)56-9-4-5-18(41)11-23(45)66-10-8-35-22(44)6-7-36-30(48)27(47)33(2,3)14-58-65(54,55)62-64(52,53)57-13-21-26(61-63(49,50)51)25(46)31(60-21)40-16-39-24-28(34)37-15-38-29(24)40/h15-17,19-21,25-27,31-32,42-43,46-47H,4-14H2,1-3H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/p-4/t17-,19+,20+,21+,25+,26+,27-,31+,32+/m0/s1	XEXFZJDKGHLWIB-PWGBCQQASA-J		bkos#12-CoA	C33H54N7O22P3S	InChI=1S/C33H54N7O22P3S/c1-17-19(42)12-20(43)32(59-17)56-9-4-5-18(41)11-23(45)66-10-8-35-22(44)6-7-36-30(48)27(47)33(2,3)14-58-65(54,55)62-64(52,53)57-13-21-26(61-63(49,50)51)25(46)31(60-21)40-16-39-24-28(34)37-15-38-29(24)40/h15-17,19-21,25-27,31-32,42-43,46-47H,4-14H2,1-3H3,(H,35,44)(H,36,48)(H,52,53)(H,54,55)(H2,34,37,38)(H2,49,50,51)/t17-,19+,20+,21+,25+,26+,27-,31+,32+/m0/s1	XEXFZJDKGHLWIB-PWGBCQQASA-											
M_crm_c	ceramide	c	0	C19H36NO3R	CHEBI:17761																							
M_crm_m	ceramide	m	0	C19H36NO3R	CHEBI:17761																							
M_crm_n	ceramide	n	0	C19H36NO3R	CHEBI:17761																							
M_galside_cho_c	cerebroside	c	0	C25H46NO8R	CHEBI:23079																							
M_ct_frdp_c	cis,trans- Farnesyl diphosphate	c	0		CHEBI:19515				Added for R08528; different from M_frdp_n. Charge?	ms;wimi				2-cis,6-trans-farnesyl diphosphate	C15H28O7P2	InChI=1S/C15H28O7P2/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-21-24(19,20)22-23(16,17)18/h7,9,11H,5-6,8,10,12H2,1-4H3,(H,19,20)(H2,16,17,18)/b14-9+,15-11-	VWFJDQUYCIWHTN-PVMFERMNSA-N		CHEBI:19515	C16826			LMPR0103010010		Q27109186	445683		393244
M_cgly_m	Cys-Gly	m	0	C5H10N2O3S	CHEBI:4047						InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1	ZUKPVRWZDMRIEO-VKHMYHEASA-N		L-cysteinylglycine	C5H10N2O3S	InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1	ZUKPVRWZDMRIEO-VKHMYHEASA-N		CHEBI:61694;CHEBI:4047	C01419		HMDB0000078;HMDB00078			Q27106297	439498		388596
M_cytr_c	cytidine 5'-monophosphate(1-) residue	c	-1	C9H11N3O7P	CHEBI:82748				I do not think we need it yet, but might be handy to model cytoplasmic RNA metabolism	lenov																		
M_RNA_c	cytoplasmic RNA (biomass)	c	0																									
M_fru_m	D-Fructose	m	0	C6H12O6	CHEBI:15824				furanose form?	wimi																		
M_fru_n	D-Fructose	n	0	C6H12O6	CHEBI:15824				furanose form?	wimi																		
M_gal_m	D-Galactose	m	0	C6H12O6	CHEBI:27667				Changed to CHEBI:27667	nel	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6-/m1/s1	WQZGKKKJIJFFOK-FPRJBGLDSA-N		beta-D-galactose	C6H12O6	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6-/m1/s1	WQZGKKKJIJFFOK-FPRJBGLDSA-N		CHEBI:10384;CHEBI:10383;CHEBI:27667;CHEBI:42776	C00962;C00602		HMDB0003449;HMDB03449			Q27103248	439353		388476
