!!SBtab SbtabVersion='1.0' TableType='Compound' TableName='C elegans metabolites'
!ID	!Name	!Location	!Charge	!Formula	!Identifiers:chebi	!Identifiers:pubmed	!Identifiers:doi	!Identifiers:eco	!Comment	!Curator	!Notes:Old_ID	!Notes:InChI	!Notes:InChIKey	!Notes:SMILES	!Notes:Name_neutral	!Notes:Formula_Neutral	!Notes:InChI_neutral	!Notes:InChIKey_neutral	!Notes:SMILES_neutral	!Notes:ChEBI_neutral	!Notes:KEGG_neutral	!Notes:MetaCyc_neutral	!Notes:HMDB_neutral	!Notes:LipidMaps_neutral	!Notes:SwissLipids_neutral	!Notes:Wikidata_neutral	!Notes:Pubchem_neutral	!Notes:Metabolights_neutral	!Notes:Chemspider_neutral
M_carn18_3_9z12z15z__L_c	O-alpha-Linolenoyl-L-carnitine	c	0	C25H43NO4					correct to L-carnitine version, added new systematic ID	wimi	M_lnlncacrn_c	InChI=1/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h6-7,9-10,12-13,23H,5,8,11,14-22H2,1-4H3/b7-6-,10-9-,13-12-/t23-/s2	WJCRATGUUISKDG-QPKKWJRPNA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-alpha-Linolenoyl-L-carnitine	C25H43NO4	InChI=1/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h6-7,9-10,12-13,23H,5,8,11,14-22H2,1-4H3/b7-6-,10-9-,13-12-/t23-/s2	WJCRATGUUISKDG-QPKKWJRPNA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn18_3_9z12z15z__L_m	O-alpha-Linolenoyl-L-carnitine	m	0	C25H43NO4					correct to L-carnitine version, added new systematic ID	wimi	M_lnlncacrn_m	InChI=1/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h6-7,9-10,12-13,23H,5,8,11,14-22H2,1-4H3/b7-6-,10-9-,13-12-/t23-/s2	WJCRATGUUISKDG-QPKKWJRPNA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-alpha-Linolenoyl-L-carnitine	C25H43NO4	InChI=1/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h6-7,9-10,12-13,23H,5,8,11,14-22H2,1-4H3/b7-6-,10-9-,13-12-/t23-/s2	WJCRATGUUISKDG-QPKKWJRPNA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn18_4_6z9z12z15z__L_c	O-Stearidonyl-L-carnitine	c	0	C25H41NO4					correct to L-carnitine version, added new systematic ID	wimi	M_strdncrn_c	InChI=1/C25H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h6-7,9-10,12-13,15-16,23H,5,8,11,14,17-22H2,1-4H3/b7-6-,10-9-,13-12-,16-15-/t23-/s2	InChIKey=KUEMHIPTNWTLCC-HXPYEGJENA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-Stearidonyl-L-carnitine	C25H41NO4	InChI=1/C25H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h6-7,9-10,12-13,15-16,23H,5,8,11,14,17-22H2,1-4H3/b7-6-,10-9-,13-12-,16-15-/t23-/s2	InChIKey=KUEMHIPTNWTLCC-HXPYEGJENA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn18_4_6z9z12z15z__L_m	O-Stearidonyl-L-carnitine	m	0	C25H41NO4					correct to L-carnitine version, added new systematic ID	wimi	M_strdnc_m	InChI=1/C25H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h6-7,9-10,12-13,15-16,23H,5,8,11,14,17-22H2,1-4H3/b7-6-,10-9-,13-12-,16-15-/t23-/s2	InChIKey=KUEMHIPTNWTLCC-HXPYEGJENA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-Stearidonyl-L-carnitine	C25H41NO4	InChI=1/C25H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h6-7,9-10,12-13,15-16,23H,5,8,11,14,17-22H2,1-4H3/b7-6-,10-9-,13-12-,16-15-/t23-/s2	InChIKey=KUEMHIPTNWTLCC-HXPYEGJENA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn20_3_8z11z14z__L_c	O-dihomo-gamma-linolenyl-L-carnitine	c	0	C27H47NO4					correct to L-carnitine version, added new systematic ID	wimi	M_dlnlcgcrn_c	InChI=1/C27H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h9-10,12-13,15-16,25H,5-8,11,14,17-24H2,1-4H3/b10-9-,13-12-,16-15-/t25-/s2	InChIKey=RDIZZXFTCZPSRY-ZRRYZNKENA-N	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-dihomo-gamma-linolenyl-L-carnitine	C27H47NO4	InChI=1/C27H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h9-10,12-13,15-16,25H,5-8,11,14,17-24H2,1-4H3/b10-9-,13-12-,16-15-/t25-/s2	InChIKey=RDIZZXFTCZPSRY-ZRRYZNKENA-N	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn20_3_8z11z14z__L_m	O-dihomo-gamma-linolenyl-L-carnitine	m	0	C27H47NO4					correct to L-carnitine version, added new systematic ID	wimi	M_dlnlcgcrn_m	InChI=1/C27H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h9-10,12-13,15-16,25H,5-8,11,14,17-24H2,1-4H3/b10-9-,13-12-,16-15-/t25-/s2	InChIKey=RDIZZXFTCZPSRY-ZRRYZNKENA-N	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-dihomo-gamma-linolenyl-L-carnitine	C27H47NO4	InChI=1/C27H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h9-10,12-13,15-16,25H,5-8,11,14,17-24H2,1-4H3/b10-9-,13-12-,16-15-/t25-/s2	InChIKey=RDIZZXFTCZPSRY-ZRRYZNKENA-N	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn20_4_5z8z11z14z__L_c	O-arachidonoyl-L-carnitine	c	0	C27H45NO4					correct to L-carnitine version, added new systematic ID	wimi	M_arachdcrn_c	InChI=1/C27H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h9-10,12-13,15-16,18-19,25H,5-8,11,14,17,20-24H2,1-4H3/b10-9-,13-12-,16-15-,19-18-/t25-/s2	RBFQHRALHSUPIA-LCAHIEFCNA-N	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CC([H])=C([H])CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-arachidonoyl-L-carnitine	C25H43NO4	InChI=1/C27H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h9-10,12-13,15-16,18-19,25H,5-8,11,14,17,20-24H2,1-4H3/b10-9-,13-12-,16-15-,19-18-/t25-/s2	RBFQHRALHSUPIA-LCAHIEFCNA-N	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CC([H])=C([H])CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn20_4_5z8z11z14z__L_m	O-arachidonoyl-L-carnitine	m	0	C27H45NO4					correct to L-carnitine version, added new systematic ID	wimi	M_arachdcrn_m	InChI=1/C27H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h9-10,12-13,15-16,18-19,25H,5-8,11,14,17,20-24H2,1-4H3/b10-9-,13-12-,16-15-,19-18-/t25-/s2	RBFQHRALHSUPIA-LCAHIEFCNA-N	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CC([H])=C([H])CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-arachidonoyl-L-carnitine	C27H45NO4	InChI=1/C27H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h9-10,12-13,15-16,18-19,25H,5-8,11,14,17,20-24H2,1-4H3/b10-9-,13-12-,16-15-,19-18-/t25-/s2	RBFQHRALHSUPIA-LCAHIEFCNA-N	[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CC([H])=C([H])CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn20_4_8z11714z17z__L_c	O-(8Z,11Z,14Z,17Z)-icosatetraenoyl-L-carnitine	c	0	C27H45NO4					correct to L-carnitine version, added new systematic ID	wimi	M_eicostetcrn_c	InChI=1/C27H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h6-7,9-10,12-13,15-16,25H,5,8,11,14,17-24H2,1-4H3/b7-6-,10-9-,13-12-,16-15-/t25-/s2	VPEBWBVNBKLXSR-SDNBJKDINA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-(8Z,11Z,14Z,17Z)-icosatetraenoyl-L-carnitine	C27H45NO4	InChI=1/C27H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h6-7,9-10,12-13,15-16,25H,5,8,11,14,17-24H2,1-4H3/b7-6-,10-9-,13-12-,16-15-/t25-/s2	VPEBWBVNBKLXSR-SDNBJKDINA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn20_4_8z11714z17z__L_m	O-(8Z,11Z,14Z,17Z)-icosatetraenoyl-L-carnitine	m	0	C27H45NO4					correct to L-carnitine version, added new systematic ID	wimi	M_eicostetcrn_m	InChI=1/C27H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h6-7,9-10,12-13,15-16,25H,5,8,11,14,17-24H2,1-4H3/b7-6-,10-9-,13-12-,16-15-/t25-/s2	VPEBWBVNBKLXSR-SDNBJKDINA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-(8Z,11Z,14Z,17Z)-icosatetraenoyl-L-carnitine	C27H45NO4	InChI=1/C27H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h6-7,9-10,12-13,15-16,25H,5,8,11,14,17-24H2,1-4H3/b7-6-,10-9-,13-12-,16-15-/t25-/s2	VPEBWBVNBKLXSR-SDNBJKDINA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn20_5_5z8z11z14z17z__L_c	O-timnodonyl-L-carnitine	c	0	C27H43NO4					correct to L-carnitine version, added new systematic ID	wimi	M_tmndnccrn_c	InChI=1/C27H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h6-7,9-10,12-13,15-16,18-19,25H,5,8,11,14,17,20-24H2,1-4H3/b7-6-,10-9-,13-12-,16-15-,19-18-/t25-/s2	InChIKey=USUPQTJPNBGUSJ-OAYSXPAYNA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CC([H])=C([H])CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-timnodonyl-L-carnitine	C27H43NO4	InChI=1/C27H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h6-7,9-10,12-13,15-16,18-19,25H,5,8,11,14,17,20-24H2,1-4H3/b7-6-,10-9-,13-12-,16-15-,19-18-/t25-/s2	InChIKey=USUPQTJPNBGUSJ-OAYSXPAYNA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CC([H])=C([H])CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_carn20_5_5z8z11z14z17z__L_m	O-timnodonyl-L-carnitine	m	0	C27H43NO4					correct to L-carnitine version, added new systematic ID	wimi	M_tmndnccrn_m	InChI=1/C27H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h6-7,9-10,12-13,15-16,18-19,25H,5,8,11,14,17,20-24H2,1-4H3/b7-6-,10-9-,13-12-,16-15-,19-18-/t25-/s2	InChIKey=USUPQTJPNBGUSJ-OAYSXPAYNA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CC([H])=C([H])CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	O-timnodonyl-L-carnitine	C27H43NO4	InChI=1/C27H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h6-7,9-10,12-13,15-16,18-19,25H,5,8,11,14,17,20-24H2,1-4H3/b7-6-,10-9-,13-12-,16-15-,19-18-/t25-/s2	InChIKey=USUPQTJPNBGUSJ-OAYSXPAYNA-N	[H]\C(CC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CC([H])=C([H])CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C										
M_cgly_m	Cys-Gly	m	0	C5H10N2O3S	CHEBI:4047							InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1	ZUKPVRWZDMRIEO-VKHMYHEASA-N	N[C@@H](CS)C(=O)NCC(O)=O	L-cysteinylglycine	C5H10N2O3S	InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1	ZUKPVRWZDMRIEO-VKHMYHEASA-N	N[C@@H](CS)C(=O)NCC(O)=O	CHEBI:61694;CHEBI:4047	C01419		HMDB0000078;HMDB00078			Q27106297	439498		388596
M_coa10_0_3o9me_m	3-Oxo-9-methyldecanoyl-CoA(4-)	m	-4	C32H50N7O18P3S					corrected to systematic ID	wimi	M_3oc11isocoa_m	InChI=1S/C32H54N7O18P3S/c1-19(2)8-6-5-7-9-20(40)14-23(42)61-13-12-34-22(41)10-11-35-30(45)27(44)32(3,4)16-54-60(51,52)57-59(49,50)53-15-21-26(56-58(46,47)48)25(43)31(55-21)39-18-38-24-28(33)36-17-37-29(24)39/h17-19,21,25-27,31,43-44H,5-16H2,1-4H3,(H,34,41)(H,35,45)(H,49,50)(H,51,52)(H2,33,36,37)(H2,46,47,48)/p-4/t21-,25-,26-,27+,31-/m0/s1	GJYKCULWTPKFRB-IRIRNWBTSA-J	[H][C@@](O)(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCCCC(C)C)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@]1([H])O[C@]([H])(N2C=NC3=C(N)N=CN=C23)[C@@]([H])(O)[C@@]1([H])OP([O-])([O-])=O	3-Oxo-9-methyldecanoyl-CoA	C32H54N7O18P3S	InChI=1S/C32H54N7O18P3S/c1-19(2)8-6-5-7-9-20(40)14-23(42)61-13-12-34-22(41)10-11-35-30(45)27(44)32(3,4)16-54-60(51,52)57-59(49,50)53-15-21-26(56-58(46,47)48)25(43)31(55-21)39-18-38-24-28(33)36-17-37-29(24)39/h17-19,21,25-27,31,43-44H,5-16H2,1-4H3,(H,34,41)(H,35,45)(H,49,50)(H,51,52)(H2,33,36,37)(H2,46,47,48)/t21-,25-,26-,27+,31-/m0/s1	GJYKCULWTPKFRB-IRIRNWBTSA-N	[H][C@@](O)(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCCCC(C)C)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@]1([H])O[C@]([H])(N2C=NC3=C(N)N=CN=C23)[C@@]([H])(O)[C@@]1([H])OP(O)(O)=O										
M_coa10_0_3oh9me__S_m	(S)-3-Hydroxy-9-methyldecanoyl-CoA(4-)	m	-4	C32H52N7O18P3S					corrected to systematic ID	wimi	M_3hc11isocoa_m	InChI=1S/C32H56N7O18P3S/c1-19(2)8-6-5-7-9-20(40)14-23(42)61-13-12-34-22(41)10-11-35-30(45)27(44)32(3,4)16-54-60(51,52)57-59(49,50)53-15-21-26(56-58(46,47)48)25(43)31(55-21)39-18-38-24-28(33)36-17-37-29(24)39/h17-21,25-27,31,40,43-44H,5-16H2,1-4H3,(H,34,41)(H,35,45)(H,49,50)(H,51,52)(H2,33,36,37)(H2,46,47,48)/p-4/t20-,21+,25+,26+,27-,31+/m0/s1	JDUWMWJXDWDAGG-WKKRHPGJSA-J	[H][C@](O)(CCCCCC(C)C)CC(=O)SCCNC(=O)CCNC(=O)[C@]([H])(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP([O-])([O-])=O	(S)-3-Hydroxy-9-methyldecanoyl-CoA	C32H56N7O18P3S	InChI=1S/C32H56N7O18P3S/c1-19(2)8-6-5-7-9-20(40)14-23(42)61-13-12-34-22(41)10-11-35-30(45)27(44)32(3,4)16-54-60(51,52)57-59(49,50)53-15-21-26(56-58(46,47)48)25(43)31(55-21)39-18-38-24-28(33)36-17-37-29(24)39/h17-21,25-27,31,40,43-44H,5-16H2,1-4H3,(H,34,41)(H,35,45)(H,49,50)(H,51,52)(H2,33,36,37)(H2,46,47,48)/t20-,21+,25+,26+,27-,31+/m0/s1	JDUWMWJXDWDAGG-WKKRHPGJSA-N	[H][C@](O)(CCCCCC(C)C)CC(=O)SCCNC(=O)CCNC(=O)[C@]([H])(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP(O)(O)=O										
M_coa10_0_9me_m	9-methyldecanoyl-CoA(4-)	m	-4	C32H52N7O17P3S					corrected to systematic ID	wimi	M_c11isocoa_m	InChI=1S/C32H56N7O17P3S/c1-20(2)10-8-6-5-7-9-11-23(41)60-15-14-34-22(40)12-13-35-30(44)27(43)32(3,4)17-53-59(50,51)56-58(48,49)52-16-21-26(55-57(45,46)47)25(42)31(54-21)39-19-38-24-28(33)36-18-37-29(24)39/h18-21,25-27,31,42-43H,5-17H2,1-4H3,(H,34,40)(H,35,44)(H,48,49)(H,50,51)(H2,33,36,37)(H2,45,46,47)/p-4/t21-,25-,26-,27+,31-/m0/s1	RCXPSWVRHIYDCZ-IRIRNWBTSA-J	[H][C@@](O)(C(=O)NCCC(=O)NCCSC(=O)CCCCCCCC(C)C)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@]1([H])O[C@]([H])(N2C=NC3=C(N)N=CN=C23)[C@@]([H])(O)[C@@]1([H])OP([O-])([O-])=O	9-methyldecanoyl-CoA	C32H56N7O17P3S	InChI=1S/C32H56N7O17P3S/c1-20(2)10-8-6-5-7-9-11-23(41)60-15-14-34-22(40)12-13-35-30(44)27(43)32(3,4)17-53-59(50,51)56-58(48,49)52-16-21-26(55-57(45,46)47)25(42)31(54-21)39-19-38-24-28(33)36-18-37-29(24)39/h18-21,25-27,31,42-43H,5-17H2,1-4H3,(H,34,40)(H,35,44)(H,48,49)(H,50,51)(H2,33,36,37)(H2,45,46,47)/t21-,25-,26-,27+,31-/m0/s1	RCXPSWVRHIYDCZ-IRIRNWBTSA-N	[H][C@@](O)(C(=O)NCCC(=O)NCCSC(=O)CCCCCCCC(C)C)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@]1([H])O[C@]([H])(N2C=NC3=C(N)N=CN=C23)[C@@]([H])(O)[C@@]1([H])OP(O)(O)=O										
M_coa10_1_2e9me_m	trans-9-methyldec-2-enoyl-CoA(4-)	m	-4	C32H50N7O17P3S					corrected to systematic ID	wimi	M_c11iso2coa_m	InChI=1S/C32H54N7O17P3S/c1-20(2)10-8-6-5-7-9-11-23(41)60-15-14-34-22(40)12-13-35-30(44)27(43)32(3,4)17-53-59(50,51)56-58(48,49)52-16-21-26(55-57(45,46)47)25(42)31(54-21)39-19-38-24-28(33)36-18-37-29(24)39/h9,11,18-21,25-27,31,42-43H,5-8,10,12-17H2,1-4H3,(H,34,40)(H,35,44)(H,48,49)(H,50,51)(H2,33,36,37)(H2,45,46,47)/p-4/b11-9+/t21-,25-,26-,27+,31-/m0/s1	RQFYHLSWELZRBV-FRYPDANNSA-J	[H]\C(CCCCCC(C)C)=C(\[H])C(=O)SCCNC(=O)CCNC(=O)[C@@]([H])(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@]1([H])O[C@]([H])(N2C=NC3=C(N)N=CN=C23)[C@@]([H])(O)[C@@]1([H])OP([O-])([O-])=O	trans-9-methyldec-2-enoyl-CoA	C32H54N7O17P3S	InChI=1S/C32H54N7O17P3S/c1-20(2)10-8-6-5-7-9-11-23(41)60-15-14-34-22(40)12-13-35-30(44)27(43)32(3,4)17-53-59(50,51)56-58(48,49)52-16-21-26(55-57(45,46)47)25(42)31(54-21)39-19-38-24-28(33)36-18-37-29(24)39/h9,11,18-21,25-27,31,42-43H,5-8,10,12-17H2,1-4H3,(H,34,40)(H,35,44)(H,48,49)(H,50,51)(H2,33,36,37)(H2,45,46,47)/p-4/b11-9+/t21-,25-,26-,27+,31-/m0/s1	RQFYHLSWELZRBV-FRYPDANNSA-J	[H]\C(CCCCCC(C)C)=C(\[H])C(=O)SCCNC(=O)CCNC(=O)[C@@]([H])(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@]1([H])O[C@]([H])(N2C=NC3=C(N)N=CN=C23)[C@@]([H])(O)[C@@]1([H])OP([O-])([O-])=O										
M_coa12_0_11me_m	11-methyldodecanoyl-CoA(4-)	m	-4	C34H56N7O17P3S					corrected to systematic ID	wimi	M_c13isocoa_m	InChI=1S/C34H60N7O17P3S/c1-22(2)12-10-8-6-5-7-9-11-13-25(43)62-17-16-36-24(42)14-15-37-32(46)29(45)34(3,4)19-55-61(52,53)58-60(50,51)54-18-23-28(57-59(47,48)49)27(44)33(56-23)41-21-40-26-30(35)38-20-39-31(26)41/h20-23,27-29,33,44-45H,5-19H2,1-4H3,(H,36,42)(H,37,46)(H,50,51)(H,52,53)(H2,35,38,39)(H2,47,48,49)/p-4/t23-,27-,28-,29+,33-/m0/s1	SAZRNJMTRRCRJX-VAFZQPSJSA-J	[H][C@@](O)(C(=O)NCCC(=O)NCCSC(=O)CCCCCCCCCC(C)C)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@]1([H])O[C@]([H])(N2C=NC3=C(N)N=CN=C23)[C@@]([H])(O)[C@@]1([H])OP([O-])([O-])=O	11-methyldodecanoyl-CoA	C34H60N7O17P3S	InChI=1S/C34H60N7O17P3S/c1-22(2)12-10-8-6-5-7-9-11-13-25(43)62-17-16-36-24(42)14-15-37-32(46)29(45)34(3,4)19-55-61(52,53)58-60(50,51)54-18-23-28(57-59(47,48)49)27(44)33(56-23)41-21-40-26-30(35)38-20-39-31(26)41/h20-23,27-29,33,44-45H,5-19H2,1-4H3,(H,36,42)(H,37,46)(H,50,51)(H,52,53)(H2,35,38,39)(H2,47,48,49)/t23-,27-,28-,29+,33-/m0/s1	SAZRNJMTRRCRJX-VAFZQPSJSA-N	[H][C@@](O)(C(=O)NCCC(=O)NCCSC(=O)CCCCCCCCCC(C)C)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@]1([H])O[C@]([H])(N2C=NC3=C(N)N=CN=C23)[C@@]([H])(O)[C@@]1([H])OP(O)(O)=O										
